question;answer;classifier_1;classifier_2;is_knowledge_base
«Требуется дополнительная информация» для монетизации? Что ещё от меня нужно?;Удостоверьтесь, что вы приложили к заявке все необходимые документы – это паспорт, ИНН, СНИЛС, справка о постановке на учёт в налоговой или справка из приложения «Мой налог», а также дополнительно для ИП и юрлица документы о регистрации и выписка из ЕГРИП/ЕГРЮЛ. Если каких-либо документов не хватает, вы можете направить их нам сюда или в чате Студии RUTUBE.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
50 ролей для 2-х каналов или 1?;Максимальное количество пользователей с разными ролями - 50 человек именно для 1 канала.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
50 ролей могу дать эту суммарно по всем каналам моим или нет?;Максимальное количество пользователей с разными ролями - 50 человек для 1 канала. Вы самостоятельно можете распределять количество пользователей на каждую роль.;УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
QR ваш не сканируется, как мне войти?;Если возникли проблемы с QR-кодом, перейдите по ссылке http://rutube.ru/activate/ с любого устройства и введите 6-значный код с экрана телевизора.;УПРАВЛЕНИЕ АККАУНТОМ;Регистрация/Авторизация;0
Rutub же поддерживает авторов? Я смогу получать доход за свои ролики?;Для получения дохода (монетизации) вам необходимо будет подключиться к партнерской программе. Монетизацию можно подключить после того, как вы загрузите в публичный доступ на свой канал минимум 2 ролика и наберёте 5000 просмотров. Мы считаем совокупное количество просмотров, начиная с 1 января 2021 года. По достижению этих условий в разделе «Монетизация» в Студии RUTUBE у вас появится анкета партнёра:https://studio.rutube.ru/monetization. Заполните её и подайте заявку на монетизацию. Далее мы убедимся, что ваш канал не нарушает правил RUTUBE, и пришлём подтверждение вам на почту. После подключения монетизации RUTUBE начнёт начислять вам вознаграждение в порядке, определенном Офертой (https://rutube.ru/info/adv_oferta/). А всю аналитику и размер дохода по месяцам вы сможете смотреть в личном кабинете Студии RUTUBE.;МОНЕТИЗАЦИЯ;Отключение/подключение монетизации;0
здравствуйте прошу удалить аккаунт в студии на вашем канале так как случайно зарегистрировалась повторноудалить аккаунт необходимо с привязкой по номеру телефона скриншот в приложении --Надежда;"Для удаления канала нажмите на фото своего профиля в правом верхнем углу и выберете раздел ""Настройки канала"", внизу экрана нажмите на кнопку ""Удалить канал"".";УПРАВЛЕНИЕ АККАУНТОМ;Удаление аккаунта;0
А как включить shorts, чтобы он был горизонтально?;Shorts открываются автоматически в вертикальном плеере как на сайте, так и в приложениях RUTUBE.;ВИДЕО;Воспроизведение видео;0
А как поменять пароль?;"Вы можете изменить пароль в разделе ""Мои данные"" https://rutube.ru/profile/ в блоке ""Дополнительная безопасность"".";УПРАВЛЕНИЕ АККАУНТОМ;Персонализация;0
А какие-нибудь настройки есть для встраиваемых видео?;Для настройки дополнительных параметров плеера, таких как изменение размера окна, цвета элементов управления, выбор начала и конца воспроизведения, отображение названия и автора видео, вам необходимо внести изменения в код вставки плеера. Все новые параметры будут отражены в коде, поэтому убедитесь, что скопировали его после внесения всех изменений. В расширенном режиме настройки доступны следующие параметры: Изменение размера окна: измените размер в одном из полей блока «Размеры, px» на желаемый. Второе поле автоматически подстроится для сохранения пропорций оригинального плеера. Изменение цвета элементов: нажмите «Изменить» в блоке «Основной цвет» и выберите нужный цвет из палитры. Выбор начала и конца воспроизведения: установите флажок в чекбоксах «Начало» и/или «Конец», затем введите таймкод нужного момента. Часы будут доступны, если видео длится более 59 минут 59 секунд. Если указать 99 минут, оно автоматически преобразуется в часы и остаток в минутах. Секунды также преобразуются в минуты. Отображение названия видео: установите флажок в чекбоксе «Показывать название видео». Обратите внимание, что отображение может быть недоступно на платформах без поддержки HTML. Отображение автора видео: добавьте, если включено отображение названия видео. Чтобы включить отображение автора, установите флажок в чекбоксе «Показывать автора канала». Обратите внимание, что отображение может быть недоступно на платформах без поддержки HTML.;ВИДЕО;Встраивание видео;0
А кто может верифецироваться на Rutub?;Любой пользователь RUTUBE из любой страны мира может пройти процедуру верификации, если выполнит все необходимые требования и корректно заполнит документы.;УПРАВЛЕНИЕ АККАУНТОМ;Верификация;0
